criterion,splitter,max_depth,min_samples_split,max_features,oversampling_method,roc_auc
gini,best,195,0.8144094203590194,sqrt,ada,0.6288689686702629
gini,random,37,0.4295083636030497,log2,ada,0.6759119789416145
entropy,random,103,0.9592417451472894,,ada,0.5965319026367978
gini,random,188,0.7603885776165377,sqrt,ada,0.6258685073217751
gini,best,176,0.39415985063422715,sqrt,none,0.8021733447465865
entropy,best,82,0.19208331565100975,log2,ada,0.7497421520322444
gini,random,107,0.9723406616663121,sqrt,none,0.6023760114490421
gini,best,41,0.7712546336632878,sqrt,none,0.6932311121823981
gini,random,5,0.8175816690651163,sqrt,none,0.585911120114042
entropy,random,157,0.24260664726272047,log2,none,0.8068160805177588
gini,random,189,0.26999583416706835,sqrt,none,0.800262897624914
gini,random,200,0.1699716069232911,log2,none,0.7886639226340187
entropy,best,1,0.4543640443299489,,ada,0.6245317072348334
entropy,best,122,0.25775243886247906,log2,none,0.8269691080179019
entropy,best,1,0.09155611290541951,sqrt,none,0.678439350557264
entropy,best,175,0.1825246958504538,sqrt,none,0.8410254907405749
entropy,best,152,0.10302204399568556,sqrt,none,0.8759727622022746
gini,best,143,1e-08,sqrt,none,0.8130834090102605
entropy,best,200,1e-08,,none,0.827496441458857
entropy,best,200,1e-08,sqrt,ada,0.8747038067832063
entropy,best,200,1e-08,sqrt,none,0.8173356792207404
entropy,best,172,0.09290417485825801,sqrt,ada,0.8022605186140854
gini,random,147,1e-08,sqrt,none,0.7727865422156411
gini,best,200,0.17158980171661245,log2,ada,0.7727701245733153
entropy,random,197,0.0016767092804760336,log2,none,0.886171942272103
entropy,random,200,1e-08,,none,0.8183471247677941
entropy,best,145,0.017134121099196323,,none,0.9251707996397034
entropy,random,142,0.00047036901964574146,,ada,0.9362394215304938
entropy,random,124,1e-08,log2,none,0.7661112353475402
entropy,best,132,0.1810029214235089,sqrt,none,0.85312453303451
entropy,best,133,0.1788153316020713,,none,0.8841081569463428
entropy,best,120,1e-08,sqrt,none,0.8132254665568688
entropy,best,119,1e-08,sqrt,none,0.8116679239233798
entropy,best,162,1e-08,sqrt,ada,0.8736934959959625
entropy,best,147,1e-08,,ada,0.8980642119948815
entropy,random,172,1e-08,log2,ada,0.8513956371655648
entropy,best,111,1e-08,,none,0.8262308857746067
entropy,random,119,1e-08,sqrt,ada,0.8579915512864869
entropy,random,154,1e-08,,ada,0.8915463760424713
entropy,random,149,0.236279065322522,,ada,0.7921502924767253
gini,best,105,0.39130236513435673,,none,0.8795377937138545
entropy,best,105,0.4330742020815084,,none,0.8779316202848624
entropy,best,146,1e-08,,none,0.8281948370228811
gini,random,200,1e-08,,ada,0.8907351310534262
gini,random,22,1e-08,,ada,0.899700525485671
gini,random,94,1e-08,,ada,0.8896988417562879
entropy,random,62,0.006452036859044167,,ada,0.9009011751211
entropy,best,1,1e-08,,ada,0.6245317072348334
entropy,best,162,1e-08,,ada,0.8982045714238405
entropy,random,1,1e-08,,none,0.6585812723318938
entropy,best,170,1e-08,,ada,0.8983311759019504
entropy,random,162,1e-08,,ada,0.8917024150711041
entropy,best,200,1.0,,none,0.683038853804312
entropy,random,97,1e-08,,ada,0.8930584743640626
entropy,best,164,1e-08,,ada,0.8973526752715365
gini,best,160,1e-08,,ada,0.8925417920203648
entropy,best,163,1e-08,,ada,0.8974526891118767
entropy,random,1,1e-08,log2,ada,0.5550723795153748
gini,best,56,1e-08,,ada,0.8926708444310226
gini,best,58,0.22336060774589836,,none,0.8845368751100203
gini,random,63,0.14103291293207815,,ada,0.8186743946820906
gini,random,51,1e-08,,none,0.8212172167861662
entropy,best,81,0.32053281996464583,,none,0.8804938551093495
gini,best,57,0.3941759183829943,,none,0.8795377937138545
entropy,best,110,1e-08,,ada,0.8974161982131809
gini,random,1,0.26517622321946843,,none,0.6703717264248187
gini,best,86,0.2662356196748591,,none,0.881197216441469
gini,best,131,1e-08,,ada,0.8928018688905203
gini,best,77,0.38191838177190235,log2,none,0.7862305934615609
entropy,best,64,0.4813305238956087,,none,0.8747967670150937
gini,random,50,1e-08,,ada,0.8880655107590302
entropy,best,144,0.43912566617411875,,none,0.8779316202848624
entropy,random,128,1e-08,,ada,0.8899685612797512
entropy,best,84,1e-08,,ada,0.8980234955658557
entropy,random,200,1e-08,,ada,0.894867798704043
entropy,random,140,1e-08,,ada,0.8914316474654046
gini,random,173,1e-08,,ada,0.8913181848631133
gini,random,140,1e-08,,ada,0.8897142696285684
entropy,best,200,0.4772311471458643,log2,none,0.807242636085891
gini,best,1,1.0,,ada,0.6245317072348334
entropy,best,82,1e-08,,ada,0.8985554899106072
gini,best,45,1e-08,sqrt,ada,0.8677715693819766
gini,best,81,0.3462801346827824,,none,0.8801954187011699
entropy,best,200,1e-08,,ada,0.8981531925232837
entropy,random,141,1e-08,,ada,0.8916701713233195
gini,best,200,1e-08,,ada,0.8919341874473572
entropy,random,82,1e-08,,ada,0.8936686700457388
entropy,best,100,1e-08,,ada,0.897779205109933
gini,best,41,1e-08,,ada,0.8926293925438453
entropy,best,126,0.31105623032565693,,none,0.8804938551093495
entropy,best,200,1e-08,log2,ada,0.8716701489406029
gini,best,107,1e-08,log2,ada,0.8675019188399449
entropy,best,86,1e-08,,ada,0.8982257202281975
entropy,best,85,1e-08,,ada,0.8978644686785883
entropy,best,135,1e-08,,ada,0.8977505364193242
